viewer_id,account_name,country,total_views,total_watch_time,engagement_count,total_sessions,returning_sessions,ad_blocked_sessions
0001a8a3-2594-11f0-9801-02420a0001b3,Anonymous,US,0,0.0,0,1,0,0
0001acbe-2341-11f0-9d5c-02420a0001fd,Anonymous,HK,0,0.0,0,1,0,0
0002d1a5-5324-11f0-a147-02420a0001f5,Anonymous,US,0,0.0,0,1,0,0
0002d658-43e5-11f0-83d0-02420a000108,Anonymous,US,0,0.0,0,1,0,0
0005170c-2aaf-11f0-8894-02420a0001ab,Anonymous,US,0,0.0,0,1,0,0
000cc71c-35f5-11f0-9316-02420a00010d,Anonymous,US,0,0.0,0,1,0,0
000d13a4-36fa-11f0-8976-02420a00011b,Anonymous,GR,0,0.0,0,1,0,0
001145bd-2727-11f0-b0c8-02420a0001a9,Anonymous,US,0,0.0,0,1,0,0
0011bea6-5e3e-11f0-804a-02420a00015f,Anonymous,US,0,0.0,0,1,0,0
00140fa1-3dba-11f0-ac76-02420a00010c,Anonymous,US,0,0.0,0,1,0,0
00148d0f-5a84-11f0-ab7e-02420a0001de,Anonymous,NL,0,0.0,0,1,0,0
001a80bd-6944-11f0-afb6-02420a0001e9,Anonymous,SG,0,0.0,0,1,0,0
001b478b-20e1-11f0-938b-02420a00010a,Anonymous,US,0,0.0,0,1,0,0
001bcf80-6852-11f0-b8e3-02420a000132,Anonymous,FR,0,0.0,0,1,0,0
001dd045-5137-11f0-8b20-02420a000123,Anonymous,US,0,0.0,0,1,0,0
001fe010-276d-11f0-b0c8-02420a0001a9,Anonymous,US,0,0.0,0,1,0,0
00213824-1cd8-11f0-9e8d-02420a000105,Anonymous,US,0,0.0,0,1,0,0
002170d0-219f-11f0-a8a4-02420a0001fe,Anonymous,HK,0,0.0,0,1,0,0
0026f7fc-5289-11f0-8a2a-02420a0001ea,Anonymous,US,0,0.0,0,1,0,0
00293aae-2e3e-11f0-a0eb-02420a000178,Anonymous,NL,0,0.0,0,1,0,0
0029c631-6e5f-11f0-b156-02420a000156,Anonymous,SE,0,0.0,0,1,0,0
002a9cd7-348a-11f0-aac9-02420a000106,Anonymous,US,0,0.0,0,1,0,0
002b20b0-1c31-11f0-b28e-02420a000110,Anonymous,US,0,0.0,0,1,0,0
002c165e-30dd-11f0-91d7-02420a000115,Anonymous,US,0,0.0,0,1,0,0
002d0732-6a91-11f0-be3b-d6ac8a99ac7d,Anonymous,US,0,0.0,0,1,0,0
002d7050-281e-11f0-a0f2-02420a0001a4,Anonymous,US,0,0.0,0,1,0,0
002dbb82-6805-11f0-8f42-02420a000127,Anonymous,US,0,0.0,0,1,0,0
0032b971-2170-11f0-8304-02420a00010c,Anonymous,US,0,0.0,0,1,0,0
0032cce8-1fe4-11f0-a8a4-02420a0001fe,Anonymous,HK,0,0.0,0,1,0,0
00338c37-6774-11f0-aace-02420a00013c,Anonymous,SG,0,0.0,0,1,0,0
00368543-640e-11f0-b482-02420a0001b9,Anonymous,US,0,0.0,0,1,0,0
0039a32e-6c04-11f0-a72d-02420a0001a1,Anonymous,US,0,0.0,0,1,0,0
0045ecaa-56e9-11f0-8474-02420a000176,Anonymous,US,0,0.0,0,1,0,0
00464c2e-4c73-11f0-822f-02420a0001c4,Anonymous,US,0,0.0,0,1,0,0
004660ec-31b5-11f0-82c6-02420a000107,Anonymous,US,0,0.0,0,1,0,0
004b6381-2334-11f0-9d5c-02420a0001fd,Anonymous,US,0,0.0,0,1,0,0
004bfaa9-565a-11f0-bf62-02420a00016b,Anonymous,US,0,0.0,0,1,0,0
004c2af0-6db8-11f0-8e49-02420a00017e,Anonymous,US,0,0.0,0,1,0,0
004c5d11-5b07-11f0-a1d5-02420a0001d9,Anonymous,US,0,0.0,0,1,0,0
004dedc2-587b-11f0-8a46-02420a000131,Anonymous,US,0,0.0,0,1,0,0
00520871-2a7d-11f0-8fb1-02420a0001a6,Anonymous,US,0,0.0,0,1,0,0
00521e00-3aaf-11f0-ac76-02420a00010c,Anonymous,DE,0,0.0,0,1,0,0
00539915-2730-11f0-8629-02420a0001a0,Anonymous,US,0,0.0,0,1,0,0
0054b6b5-1c27-11f0-873e-02420a000106,Anonymous,US,0,0.0,0,1,0,0
00555b0c-66a6-11f0-9f1f-02420a00015a,Anonymous,BR,0,0.0,0,1,0,0
0055b803-35a6-11f0-aac9-02420a000106,Anonymous,SE,0,0.0,0,1,0,0
00560fdd-6168-11f0-9255-02420a0001f7,Anonymous,US,0,0.0,0,1,0,0
00579fa2-3146-11f0-aac9-02420a000106,Anonymous,US,0,0.0,0,1,0,0
00586764-1ec3-11f0-9d5c-02420a0001fd,Anonymous,US,0,0.0,0,1,0,0
005caa9e-71f3-11f0-b025-02420a0001cd,Anonymous,FR,0,0.0,0,1,0,0
005d60f7-1ebf-11f0-9e8d-02420a000105,Anonymous,US,0,0.0,0,1,0,0
005ddb04-2eef-11f0-aa91-02420a000163,Anonymous,US,0,0.0,0,1,0,0
00630d00-4147-11f0-82c6-02420a000107,Anonymous,US,0,0.0,0,1,0,0
006422c8-216a-11f0-8936-02420a00010b,Anonymous,US,0,0.0,0,1,0,0
0068ddc8-5abe-11f0-95f0-02420a0001ea,Anonymous,US,0,0.0,0,1,0,0
006960d5-3f6c-11f0-83d0-02420a000108,Anonymous,US,0,0.0,0,1,0,0
00696459-4147-11f0-a96c-02420a000111,Anonymous,US,0,0.0,0,1,0,0
0069a134-2b1a-11f0-8ec6-02420a00019f,Anonymous,US,0,0.0,0,1,0,0
006a442e-33c1-11f0-a2eb-02420a00010b,Anonymous,NL,0,0.0,0,1,0,0
006b83fc-4c73-11f0-b03e-02420a0001ca,Anonymous,US,0,0.0,0,1,0,0
0070d562-1cd8-11f0-938b-02420a00010a,Anonymous,US,0,0.0,0,1,0,0
00719fe3-505d-11f0-928e-02420a00014c,Anonymous,US,1,132.3923999999985,0,2,0,0
0074d634-630f-11f0-a7ec-02420a0001cd,Anonymous,US,0,0.0,0,1,0,0
007f557a-35b1-11f0-9316-02420a00010d,Anonymous,US,0,0.0,0,1,0,0
0080b6af-59c6-11f0-b347-02420a0001f7,Anonymous,US,0,0.0,0,1,0,0
00817309-2ab0-11f0-9392-02420a0001a5,Anonymous,US,0,0.0,0,1,0,0
008451b0-2341-11f0-b28e-02420a000110,Anonymous,HK,0,0.0,0,1,0,0
00854cfb-3dd7-11f0-9316-02420a00010d,Anonymous,US,0,0.0,0,1,0,0
0085e34a-3c49-11f0-91d7-02420a000115,Anonymous,NL,0,0.0,0,1,0,0
0087c0ef-7118-11f0-b1f1-02420a0001f0,Anonymous,US,0,0.0,0,1,0,0
00881edb-2105-11f0-8304-02420a00010c,Anonymous,HK,0,0.0,0,1,0,0
008a3c97-6b21-4df8-a063-8f74e29df08c,athletecollective,Unknown,0,0.0,0,0,0,0
008c6097-6dab-11f0-bb4e-02420a000171,Anonymous,US,0,0.0,0,1,0,0
008cd932-22d3-11f0-8936-02420a00010b,Anonymous,US,0,0.0,0,1,0,0
008d62bc-59c6-11f0-9bf0-02420a0001fa,Anonymous,US,0,0.0,0,1,0,0
008ee45e-2b56-11f0-9654-02420a00019e,Anonymous,US,0,0.0,0,1,0,0
008f87b6-4c73-11f0-a77d-02420a0001bf,Anonymous,US,0,0.0,0,1,0,0
00911b61-6052-11f0-bd60-02420a000123,Anonymous,US,0,0.0,0,1,0,0
0091a533-2647-11f0-8fb1-02420a0001a6,Anonymous,US,0,0.0,0,1,0,0
0091b55c-4f1b-11f0-a554-02420a0001b4,Anonymous,SG,0,0.0,0,1,0,0
0093fac9-4fc7-11f0-a3c5-02420a00015d,Anonymous,US,0,0.0,0,1,0,0
00988969-4ecf-11f0-8c3e-02420a00017a,Anonymous,DK,0,0.0,0,1,0,0
00a7710b-1f95-11f0-a8a4-02420a0001fe,Anonymous,US,0,0.0,0,1,0,0
00a85e90-6e08-11f0-afbd-02420a00015b,Anonymous,SE,0,0.0,0,1,0,0
00aa1fc2-68a4-11f0-8c5b-02420a000110,Anonymous,US,0,0.0,0,1,0,0
00aa62e9-5b0c-11f0-a1d5-02420a0001d9,Anonymous,DE,0,0.0,0,1,0,0
00b12ee5-1dda-11f0-8255-02420a000107,Anonymous,US,0,0.0,0,1,0,0
00b1d14a-5700-11f0-a55e-02420a00017a,Anonymous,US,0,0.0,0,1,0,0
00b4ab5a-6241-11f0-a03f-02420a0001ec,Anonymous,US,0,0.0,0,1,0,0
00b551ce-257b-11f0-bda6-02420a0001b5,Anonymous,HK,0,0.0,0,1,0,0
00b7a283-61f9-11f0-bd4a-02420a0001c0,Anonymous,US,0,0.0,0,1,0,0
00b80805-2854-11f0-8fb1-02420a0001a6,Anonymous,US,0,0.0,0,1,0,0
00b95426-26ef-11f0-8ec6-02420a00019f,Anonymous,US,0,0.0,0,1,0,0
00b9fabe-38af-11f0-a96c-02420a000111,Anonymous,US,0,0.0,0,1,0,0
00ba754c-7259-11f0-b8f0-02420a0001ca,Anonymous,US,0,0.0,0,1,0,0
00bc149c-6e4d-11f0-8498-02420a000161,Anonymous,IN,0,0.0,0,1,0,0
00bd1dd0-1ef9-11f0-b28e-02420a000110,Anonymous,US,0,0.0,0,1,0,0
00be0b53-4720-11f0-91d7-02420a000115,Anonymous,US,0,0.0,0,1,0,0
00be156e-5004-11f0-8532-02420a000169,Anonymous,US,0,0.0,0,1,0,0
00bebff1-22a9-11f0-a87c-02420a0001fc,Anonymous,US,0,0.0,0,1,0,0
00bf42a0-1fb7-11f0-a87c-02420a0001fc,Anonymous,US,0,0.0,0,1,0,0
00c04b47-1cd8-11f0-a8a4-02420a0001fe,Anonymous,US,0,0.0,0,1,0,0
00c1a11e-52d5-11f0-94ae-02420a0001eb,Anonymous,DE,0,0.0,0,1,0,0
00c3388f-6105-11f0-97d4-02420a000107,Anonymous,DE,0,0.0,0,1,0,0
00c3ba39-1e33-11f0-a87c-02420a0001fc,Anonymous,US,0,0.0,0,1,0,0
00c495da-4ae6-11f0-9134-02420a000106,Anonymous,SG,0,0.0,0,1,0,0
00c63ebc-2e3e-11f0-aaa6-02420a000166,Anonymous,NL,0,0.0,0,1,0,0
00c88004-66ce-11f0-8730-02420a000166,Anonymous,US,0,0.0,0,1,0,0
00c8ea4a-264a-11f0-8629-02420a0001a0,Anonymous,HK,0,0.0,0,1,0,0
00c952f9-25ce-11f0-81ac-02420a0001b7,Anonymous,US,0,0.0,0,1,0,0
00cac894-3d3d-11f0-a96c-02420a000111,Anonymous,US,0,0.0,0,1,0,0
00caec07-5a84-11f0-bcbc-02420a0001e4,Anonymous,Unknown,0,0.0,0,1,0,0
00cbaa02-5004-11f0-a3c5-02420a00015d,Anonymous,US,0,0.0,0,1,0,0
00d24f52-29ff-11f0-8fb1-02420a0001a6,Anonymous,DK,0,0.0,0,1,0,0
00e38699-4764-11f0-a2eb-02420a00010b,Anonymous,DE,0,0.0,0,1,0,0
00e40a0a-59e3-11f0-8934-02420a0001f6,Anonymous,US,0,0.0,0,1,0,0
00e537d2-2593-11f0-b9ce-02420a000171,Anonymous,US,0,0.0,0,1,0,0
00e79181-38c0-11f0-82c6-02420a000107,Anonymous,US,0,0.0,0,1,0,0
00e979e6-1c65-11f0-8304-02420a00010c,Anonymous,US,0,0.0,0,1,0,0
00ea4d09-27a2-11f0-8ec6-02420a00019f,Anonymous,US,0,0.0,0,1,0,0
00f4813a-2237-11f0-8936-02420a00010b,Anonymous,AQ,0,0.0,0,1,0,0
00f8ac9c-20d2-11f0-b28e-02420a000110,Anonymous,US,0,0.0,0,1,0,0
00f8af64-6136-11f0-97d4-02420a000107,Anonymous,AQ,0,0.0,0,1,0,0
00f8ca9f-6807-11f0-8f59-02420a000131,Anonymous,US,0,0.0,0,1,0,0
00f8e50a-3583-11f0-9486-02420a000113,Anonymous,US,0,0.0,0,1,0,0
00fd168e-5936-11f0-aeeb-02420a000117,Anonymous,US,0,0.0,0,1,0,0
00ff4cf9-71f3-11f0-b738-02420a0001d9,Anonymous,FR,0,0.0,0,1,0,0
00ff4e78-24e2-11f0-9801-02420a0001b3,Anonymous,US,0,0.0,0,1,0,0
00ff9d91-2af3-11f0-8629-02420a0001a0,Anonymous,US,5,1080.9329999999995,0,7,25,0
01008a62-2905-11f0-8894-02420a0001ab,Anonymous,US,0,0.0,0,1,0,0
0104009b-514b-11f0-b03a-02420a000122,Anonymous,US,0,0.0,0,1,0,0
